"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CHKE","Cherokee Inc.","1.55","21624152.3","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/chke",
"CHFS","CHF Solutions, Inc.","4.06","7303915.64","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","1.8","43882588.8","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","9.88","114648389.44","n/a","2017","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/csse",
"PLCE","Children&#39;s Place, Inc. (The)","157.25","2735449136.75","n/a","1997","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","4.8","226213113.6","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","4.6","10983226.8","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","3.7","17909457.8","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","4.66","147461058.64","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","82.41","2275285791.81","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","2.38","7593544.7","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","1.68","32677537.2","n/a","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CCRC","China Customer Relations Centers, Inc.","16.99","311419904","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","2.5","53049002.5","21219601","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","1.77","79738500","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"CNIT","China Information Technology, Inc.","2.47","99370962.73","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CIFS","China Internet Nationwide Financial Services Inc.","40.14","884009080.44","n/a","2017","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.5","37822017","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","2.45","58209101.65","n/a","2014","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/cldc",
"HTHT","China Lodging Group, Limited","149.71","4938008889.88","32983828","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"CHNR","China Natural Resources, Inc.","2.76","68754128.16","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","2.86","23767166.28","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","2.9","21051062.3","7258987","2005","n/a","n/a","http://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","4.5","223774789.5","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","1.92","40229967.36","20953108","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","3.84","61948965.12","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","18.28","194970970.24","10665808","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CDXC","ChromaDex Corporation","5.11","275110268.86","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cdxc",
"CHSCL","CHS Inc","27.641","0","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","26.65","506350000","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","27.57","463176000","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","29.1","329387992.5","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","29.75","215159675.5","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscp",
"CHDN","Churchill Downs, Incorporated","258.65","3995649771.75","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/chdn",
"CHUY","Chuy&#39;s Holdings, Inc.","27.05","457515503.85","n/a","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/chuy",
"CDTX","Cidara Therapeutics, Inc.","7.4","149762258.2","n/a","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cdtx",
"CMCT","CIM Commercial Trust Corporation","17.05","746533209.95","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmct",
"CMCTP","CIM Commercial Trust Corporation","n/a","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmctp",
"CMPR","Cimpress N.V","132.69","4118854572.27","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cmpr",
"CINF","Cincinnati Financial Corporation","76.59","12566257247.25","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cinf",
"CIDM","Cinedigm Corp","1.39","48406194","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/cidm",
"CTAS","Cintas Corporation","166","17677140634","n/a","1983","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ctas",
"CRUS","Cirrus Logic, Inc.","51.22","3260926370.78","n/a","1989","Technology","Semiconductors","http://www.nasdaq.com/symbol/crus",
